position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,,,,
52,1595.420757,94.2612674,1602.483036,82.35693041,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
53,1595.374318,94.33497655,1602.399964,82.97646404,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
54,1595.285518,94.17015721,1602.443904,82.74198829,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
55,1594.850543,94.87074004,1601.844149,83.27624012,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
56,1594.491664,95.17705201,1601.452232,83.90727744,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
57,1594.048954,95.87502037,1600.750927,84.73075885,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
58,1593.510073,96.30487354,1600.381409,85.03320822,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
59,1593.023784,96.85916942,1599.875294,86.03693858,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
60,1592.922493,97.28929701,1599.561791,86.63276594,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
61,1593.083243,97.33446174,1599.571136,87.07538531,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
62,1592.368781,98.21077222,1599.207223,87.80631793,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
63,1592.429326,98.15922974,1599.176597,88.09275395,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
64,1592.178149,98.59324222,1598.305948,89.12289145,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
65,1592.185921,98.63192103,1598.117508,89.08590087,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
66,1592.400177,98.72042384,1597.888875,89.54492463,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
67,1592.342936,98.8898899,1597.764292,89.80216134,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
68,1592.901038,98.36630199,1597.854166,89.43846776,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
69,1592.877864,98.57382974,1597.740835,89.53706043,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
70,1592.871105,98.66005277,1597.78157,89.44678504,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
71,1592.709659,98.86258803,1597.952141,89.51290344,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
72,1592.407552,99.53626195,1597.422859,90.62708271,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
73,1592.44,99.65905673,1597.484808,90.67424521,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
74,1592.421979,99.53505687,1597.550741,90.61547736,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
75,1592.675712,99.21680956,1597.810425,90.1151199,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
76,1592.864102,99.23977682,1597.670572,89.92711815,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
77,1592.881701,99.22712763,1597.674404,89.90418668,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
