Colony Treatment Time Ant Behavior LocationOrigin SourceDestination
3004 4 9:37:09 P*B* TB good old?
3004 4 9:37:47 GY**(1) TB good old?
3004 4 9:37:59 GOBW L good 
3004 4 9:38:13 P*B* L good 
3004 4 9:38:39 **** TA good old?
3004 4 9:38:39 YPP* BC good old?
3004 4 9:39:05 WWGY TB good old?
3004 4 9:39:07 GY**(1) L good 
3004 4 9:39:19 **** L good 
3004 4 9:39:45 WWGY L good 
3004 4 9:39:51 GY**(2) TA good old?
3004 4 9:39:51 P*PY BC good old?
3004 4 9:40:20 GW** TB good old?
3004 4 9:40:31 GY**(2) L good 
3004 4 9:41:16 GOBW TA good old?
3004 4 9:41:16 PYYP BC good old?
3004 4 9:41:52 *OPB L good 
3004 4 9:42:15 GOBW L good 
3004 4 9:42:34 GW** L good 
3004 4 9:42:39 *OPB E good 
3004 4 9:43:22 POOB L good 
3004 4 9:44:15 GP** TB good old?
3004 4 9:45:58 GP** L good 
3004 4 9:45:59 GOBW TA good old?
3004 4 9:45:59 WWGY BC good old?
3004 4 9:47:22 POOB E good 
3004 4 9:47:43 GPPO BC good old?
3004 4 9:47:43 GY**(2) TA good old?
3004 4 9:48:27 P*B* E good 
3004 4 9:48:54 GOBW FB good old
3004 4 9:48:54 POOB LB good old
3004 4 9:49:52 P*B* FB good old
3004 4 9:51:25 GOBW L good 
3004 4 9:51:35 POOB L good 
3004 4 9:51:37 P*B* L good 
3004 4 9:54:23 GY**(2) L good 
3004 4 9:54:54 **** E good 
3004 4 9:55:40 GY**(1) TB good old?
3004 4 9:56:02 GW** E good 
3004 4 9:56:04 P*B* FB old good
3004 4 9:56:04 POOB LB old good
3004 4 9:57:25 WWGY L good 
3004 4 9:59:31 POOB E good 
3004 4 9:59:35 P*B* E good 
3004 4 10:00:00 **** FB good old
3004 4 10:00:00 POOB LB good old
3004 4 10:00:44 POOB L good 
3004 4 10:00:47 **** L good 
3004 4 10:03:36 P*B* L good 
3004 4 10:06:08 GOBW BC good old?
3004 4 10:06:08 GY**(2) TA good old?
